584,19,1961,4,5,1
2183,154,999,5,33,4
141,266,1836,5,30,2
1449,192,498,4,29,4
1055,4,666,5,32,5
849,192,2277,5,35,4
1635,332,1668,5,33,2
528,324,742,5,13,4
2070,308,1391,1,18,1
162,183,393,5,18,4
2423,327,1173,5,32,4
1398,192,698,5,29,3
1382,289,798,5,18,5
2017,249,813,1,30,1
2042,275,1439,4,0,5
2181,154,998,5,33,4
2062,206,1722,5,20,4
2160,165,1051,1,18,5
53,110,302,4,17,2
1532,153,2044,5,26,5
1889,154,1729,5,21,2
1331,110,2208,5,17,4
2450,120,1660,5,29,4
1100,21,979,5,8,4
263,192,367,6,35,1
1097,11,811,5,32,4
2455,120,414,4,29,5
372,196,2090,1,4,1
1842,68,1658,5,32,5
1793,43,1295,5,19,4
368,131,340,4,33,4
1218,256,802,5,5,4
1571,60,356,5,19,4
1913,300,1358,1,35,1
390,165,554,1,18,4
1671,9,1555,5,19,5
1431,155,684,5,29,5
1734,134,1182,5,29,5
1892,206,290,5,30,4
527,147,2359,1,33,2
1113,249,1814,4,30,4
361,292,2347,1,35,1
144,195,1103,5,30,4
1727,336,1030,1,32,5
381,240,1153,5,37,5
1973,192,489,5,2,5
1864,192,1737,5,35,5
1390,110,1266,5,17,5
1987,192,2396,1,18,5
604,23,2145,5,34,2
290,52,2054,5,14,3
2023,326,117,4,34,1
1600,34,901,5,32,5
2296,275,1444,4,0,3
1162,192,275,5,18,5
371,192,382,6,35,4
317,160,2376,6,35,4
1992,192,430,4,18,5
909,110,1144,5,17,5
638,89,2374,5,33,3
664,298,132,5,35,2
2186,162,112,5,5,4
1870,15,977,5,15,2
966,13,1688,5,35,4
237,134,2081,1,29,3
75,110,1267,5,17,5
756,49,185,1,18,4
2360,332,919,5,16,2
388,160,887,4,35,2
910,208,1383,1,30,5
749,254,363,5,35,5
1972,52,2070,5,14,2
2078,192,579,4,14,4
810,6,1869,5,17,5
2121,192,952,5,33,4
1787,210,1147,5,19,4
1231,4,912,5,32,4
125,262,1046,5,18,3
1147,16,1797,5,22,4
2529,160,746,1,18,5
1205,157,955,5,33,4
593,195,279,5,30,4
129,195,1348,5,30,4
660,153,149,5,26,4
656,192,1678,1,35,4
2568,195,1343,5,30,5
2549,192,715,5,17,5
2540,336,704,5,32,3
1020,249,1375,1,30,5
2339,192,509,4,20,3
1634,249,1923,4,30,4
433,153,2165,1,26,3
1085,330,773,5,37,4
1968,192,2272,5,35,4
341,330,561,5,37,4
1531,153,2046,5,26,4
2415,192,1124,1,18,5
685,110,1759,5,17,2
1647,193,1930,4,4,2
26,192,1978,5,18,4
1511,149,2200,5,32,3
2278,192,1744,5,18,5
765,281,1149,5,17,5
710,240,1164,1,37,2
1189,7,404,1,18,5
1224,101,1653,5,30,4
2330,327,1194,5,32,4
839,28,1318,4,30,2
446,253,1419,1,14,2
796,330,1119,5,37,3
1435,155,16,5,29,4
1071,192,1742,5,18,4
558,150,421,1,5,1
2098,195,1100,4,35,5
1262,6,1241,4,17,4
1756,4,2344,5,32,5
244,192,1087,6,18,5
169,248,1846,5,30,2
921,206,1064,1,30,4
1548,249,553,4,18,4
2397,249,287,1,30,4
1257,6,1271,4,17,4
228,329,1600,1,37,2
1691,157,875,4,33,4
2047,204,2365,5,32,5
1175,97,751,5,17,5
594,91,109,1,30,4
88,208,2016,5,30,3
1484,108,1223,5,19,4
281,157,1495,4,33,3
11,266,309,5,30,2
1102,23,2148,5,34,3
150,39,1067,1,30,5
157,192,1992,4,26,2
653,55,90,5,5,4
1169,177,1436,4,4,1
566,67,557,1,30,5
1523,208,1069,1,30,5
113,195,817,5,30,4
1467,237,416,5,33,5
504,131,1612,5,25,3
1027,249,2399,1,30,4
2126,192,1236,1,18,5
2201,176,1554,4,34,2
706,319,1212,1,32,5
2288,192,520,4,14,4
1716,157,941,5,21,4
1729,328,2402,4,32,2
2412,262,1819,5,35,3
2436,124,74,5,14,5
1172,136,1856,5,35,2
2233,192,470,4,14,4
2076,192,576,1,14,4
2344,192,508,4,20,4
2068,155,701,5,0,5
109,157,1536,5,33,3
2307,206,1725,5,20,4
86,320,1484,5,32,4
2400,192,517,4,29,5
1466,157,1514,5,33,5
417,329,2292,5,37,4
554,350,1931,5,33,4
2018,227,1430,5,30,4
1672,18,341,4,4,3
1714,162,1937,5,5,4
224,157,867,1,33,2
1675,20,1827,5,5,5
1538,256,1463,5,14,5
1150,16,1145,5,22,4
197,231,1783,6,30,2
2248,195,1900,4,35,5
2380,227,1408,5,30,4
1451,192,517,4,29,4
525,116,100,5,5,4
2056,136,711,5,35,1
2163,192,1611,1,18,4
1124,249,708,1,30,5
819,160,2217,5,18,4
2074,192,492,4,20,4
68,336,1031,5,32,4
1526,153,1177,5,26,4
2137,192,618,5,14,4
850,192,2281,5,35,4
515,311,861,4,35,2
2232,192,2065,1,18,5
2509,155,837,5,16,4
824,208,163,5,30,5
1261,59,1751,4,17,4
1712,245,1491,5,18,5
610,337,0,5,32,3
2119,192,471,4,33,4
1255,297,960,4,33,3
218,160,2388,6,35,3
1944,336,703,5,32,5
2576,38,1952,5,16,4
1966,336,706,5,32,4
35,157,273,5,33,3
425,36,1933,5,35,5
973,13,1687,5,35,4
1807,332,2247,4,33,4
2312,344,2286,5,32,5
2136,192,607,5,14,4
578,195,1902,5,30,5
1810,181,1580,5,19,5
1520,350,1524,5,33,3
836,24,1240,5,37,4
2287,162,62,5,5,1
726,110,1250,5,17,4
684,55,94,5,5,4
1739,192,1743,1,18,5
